매매가격,유지시간(초),시작시각,종료시각
$110.3950,29.7,02:01:33,02:02:02
$110.3900,29.5,05:09:49,05:10:19
$110.3975,29.3,04:28:23,04:28:53
$110.3950,29.1,05:02:05,05:02:34
$110.3900,29.1,02:05:39,02:06:08
$110.4000,29.0,01:07:38,01:08:07
$110.3900,28.7,05:45:22,05:45:51
$110.4000,28.7,04:22:04,04:22:33
$110.3950,28.7,02:36:43,02:37:12
$110.4000,28.6,00:38:08,00:38:36
$110.3906,28.3,04:21:31,04:22:00
$110.3900,28.2,02:39:17,02:39:45
$110.3911,28.2,03:14:50,03:15:18
$110.3900,28.1,04:35:52,04:36:20
$110.3905,28.1,05:04:16,05:04:44
$110.3950,27.9,04:48:03,04:48:31
$110.3950,27.9,04:29:42,04:30:10
$110.3900,27.8,02:45:18,02:45:46
$110.3950,27.5,05:22:58,05:23:26
$110.3950,27.4,03:16:39,03:17:07
$110.3967,27.4,03:10:07,03:10:34
$110.3900,27.1,06:07:13,06:07:40
$110.3901,26.9,04:20:01,04:20:28
$110.3950,26.8,03:35:40,03:36:07
$110.3954,26.8,02:18:08,02:18:35
$110.4000,26.7,00:46:54,00:47:21
$110.3955,26.6,02:36:12,02:36:39
$110.3901,26.3,04:56:55,04:57:20
$110.3954,26.1,04:18:25,04:18:51
$110.3950,25.9,05:43:18,05:43:44
$110.3950,25.9,04:56:00,04:56:26
$110.3950,25.7,04:42:38,04:43:04
$110.3913,25.4,03:04:32,03:04:58
$110.3907,25.3,02:02:45,02:03:10
$110.3950,25.0,03:01:11,03:01:36
$110.3999,24.7,03:03:10,03:03:33
$110.3999,24.6,02:09:43,02:10:07
$110.4000,24.5,01:07:12,01:07:37
$110.3975,24.5,04:27:56,04:28:21
$110.3906,24.5,04:10:51,04:11:16
$110.4000,24.3,01:52:32,01:52:56
$110.3950,24.1,05:15:50,05:16:14
$110.3900,24.1,03:57:39,03:58:04
$110.3950,23.9,04:53:14,04:53:37
$110.3954,23.9,04:19:34,04:19:58
$110.3901,23.9,04:51:58,04:52:22
$110.4000,23.7,01:08:30,01:08:53
$110.4000,23.5,00:37:37,00:38:01
$110.3955,23.5,01:44:56,01:45:20
$110.3900,23.5,02:06:40,02:07:04
$110.4000,23.3,04:55:17,04:55:41
$110.3900,23.2,03:25:47,03:26:10
$110.3900,23.2,02:16:43,02:17:06
$110.3975,23.2,05:56:13,05:56:36
$110.3950,23.2,05:57:47,05:58:11
$110.3950,23.0,02:29:03,02:29:26
